Sendungen	https://www.srf.ch/sendungen/me-biodiversitaet/mission-b-das-projekt-stellt-sich-vor	1617	
News	https://www-srf-ch.cdn.ampproject.org/v/s/www.srf.ch/article/16980648/amp?amp_js_v=0.1&usqp=mq331AQECAEoAQ%3D%3D	1601	
News	https://www.srf.ch/news/international/verschaerfte-waffengesetze-ardern-nutzt-die-gunst-der-stunde	1576	
Sport	https://www.srf.ch/sport/fussball/nationalmannschaft/schon-18-ch-tore-im-neuen-jahr-ist-das-fehlen-von-seferovic-und-shaqiri-am-ende-egal	1509	
Meteo	https://www.srf.ch/meteo/meteo-news/fruehlingsanfang-die-besten-bilder-des-ersten-vollmondes-im-fruehling-2019	1506	
News	https://www.srf.ch/news/international/e-governance-in-der-schweiz-die-esten-haben-ein-ganz-anderes-datenschutzverstaendnis	1503	
Sport	http://www.srf.ch/sport/fussball/internationale-ligen/internationale-fussball-news-buerki-beworfen-ibisevic-fuer-3-spiele-gesperrt	1469	
Kultur	https://www.srf.ch/kultur/wissen/sprachforschung-wie-der-hirsebrei-unsere-sprache-veraenderte	1417	
Meteo	http://www.srf.ch/meteo/meteo-news/die-top-3	1407	
News	https://www.srf.ch/news/schweiz/kampf-der-buerokratie-wenn-der-amtsschimmel-sich-in-den-schwanz-beisst	1316	
News	https://www.srf.ch/news/schweiz/unschuldig-vor-gericht-chefin-schikaniert-ex-mitarbeiterinnen	1313	
Kultur	https://www.srf.ch/kultur/film-serien/neu-im-kino-psychoanalyse-auf-dem-pferderuecken	1259	
News	https://www.srf.ch/news/regional/graubuenden/seltenes-ereignis-felssturz-im-winter-am-flueela	1226	
News	https://www.srf.ch/news/international/terroristisches-motiv-mann-entfuehrt-kinder-in-schulbus	1161	
Sport	https://www.srf.ch/sport/fussball/test-laenderspiele/naechster-schweiz-gegner-daenemark-nur-mit-unentschieden-gegen-den-kosovo	1140	
Sport	https://www.srf.ch/sport/eishockey/national-league/am-samstag-kommt-s-zur-belle-die-tigers-koennen-auch-zu-hause-siegen	1131	
Sport	http://www.srf.ch/sport/fussball/nationalmannschaft/ruecktritt-war-kein-thema-die-captain-frage-laesst-lichtsteiner-kalt	1126	
News	https://www.srf.ch/news/schweiz/staenderat-akzeptiert-abkommen-schweiz-soll-wieder-renten-nach-kosovo-ueberweisen	1121	
Sport	https://www.srf.ch/sport/allgemein/nicht-nur-mit-eigenblut-dopingskandal-weitet-sich-aus	1030	
Sport	https://www.srf.ch/sport/tennis/tennis-allgemein/news-aus-dem-tennis-golubic-schafft-miami-quali	1017	
Sendungen	https://www.srf.ch/sendungen/me-biodiversitaet/mehr-biodiversitaet-im-garten	983	
Sport	https://www.srf.ch/sport/mehr-sport/wintersport/wintersport-news-des-tages-kuzmina-siegt-am-holmenkollen	915	
News	https://www-srf-ch.cdn.ampproject.org/v/s/www.srf.ch/article/16970382/amp?amp_js_v=a2&amp_gsa=1&usqp=mq331AQCCAE%3D	895	
News	https://m.srf.ch/news/international/nach-anschlag-in-christchurch-neuseeland-verbietet-halbautomatische-waffen-und-sturmgewehre	893	
Sport	https://m.srf.ch/sport/ski-alpin/ski-alpin-allgemein/schweizer-meisterschaften-suter-triumphiert-in-der-abfahrt	888	
News	https://www.srf.ch/news/international/wirbelsturm-ueber-afrika-zyklon-laesst-mosambiks-fluesse-anschwellen	882	
Sendungen	https://www.srf.ch/sendungen/kassensturz-espresso/veloschloesser-im-test	858	
Kultur	https://www.srf.ch/kultur/wissen/artensterben-das-schweigen-der-voegel	856	
News	https://www.srf.ch/news/schweiz/hoher-besuch-aus-ungarn-gruene-und-sp-nationalraete-verlassen-den-saal	839	
News	https://www.srf.ch/news/schweiz/rueckerstattungen-der-sbb-besser-waere-eine-senkung-der-preise	836	
Sport	https://www-srf-ch.cdn.ampproject.org/	829	
Sport	https://www.srf.ch/sport/mehr-sport/in-eigener-sache/wer-darf-als-frau-starten-sportpanorama-plus-zu-intersexualitaet-und-transgender-im-sport	817	
News	https://www.srf.ch/news/schweiz/umstrittene-ausschaffungshaft-ohne-verbrechen-im-gefaengnis	801	
Meteo	https://m.srf.ch/meteo/responsive-wetterbericht	769	
News	https://www.srf.ch/news/wirtschaft/krebs-durch-glyphosat-monsanto-bringt-bayer-in-die-bredouille	766	
News	https://www.srf.ch/news/international/lob-fuer-jacinda-ardern-eine-politische-fuehrerin-wie-sie-sich-so-manches-land-wuenscht	739	
Sport	https://www-srf-ch.cdn.ampproject.org/	727	
Sport	https://www.srf.ch/sport/fussball/em-qualifikation/auftakt-zur-em-quali-depay-show-fuehrt-niederlande-zum-sieg	719	
News	https://www.srf.ch/news/schweiz/identitaetskarte-fuers-internet-nationalrat-bringt-e-id-auf-den-weg	700	
Meteo	https://www.srf.ch/meteo/meteo-news/hatschi-gesundheit-allergiker-aufgepasst-pollenbelastung-steigt	690	
News	https://m.srf.ch/news/international/spektakulaerer-brexit-tag-die-letzte-schlacht-im-nervenkrieg	683	
News	https://www-srf-ch.cdn.ampproject.org/v/s/www.srf.ch/article/16978461/amp?amp_js_v=0.1&usqp=mq331AQECAEoAQ%3D%3D	678	
Sport	https://m.srf.ch/sport/fussball/internationale-ligen/internationale-fussball-news-ronaldo-fuer-jubel-gebuesst	673	
